seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777630049,500,0.5,lightgbm,first,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15499, 19749, 20249, 24249]"
1777630072,500,0.5,lightgbm,all,0.7,0.12755102040816327,0.12755102040816327,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.6295598964462227,5350.0,4249.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24249, 29999]"
1777630093,500,0.5,lightgbm,first,0.7,0.12755102040816327,0.12755102040816327,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.6295598964462227,5350.0,4249.0,0.5,"[3249, 5999, 10249, 15499, 19999, 24249, 29999]"
1777630115,500,0.5,lightgbm,all,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249]"
1777630137,500,0.5,lightgbm,first,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.577906201378084,5200.0,4499.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24499, 29249]"
1777630158,500,0.5,lightgbm,all,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 19499, 20249, 24249]"
1777630179,500,0.5,lightgbm,first,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 19749, 20249, 24249]"
1777630201,500,0.5,lightgbm,all,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.5834629917759502,5250.0,4499.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24499, 29499]"
1777630226,500,0.5,lightgbm,first,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.5422194146136029,5150.0,4749.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24749, 28999]"
1777630252,500,0.5,lightgbm,all,0.7,0.12737709137709138,0.12737709137709138,0.09009009009009009,0.09009009009009009,0.9817297297297297,0.9817297297297297,0.04132231404958678,0.04132231404958678,0.9762975077524154,0.9762975077524154,8.433734939759036,4200.0,249.0,0.5,"[3249, 5999, 9999, 16249, 18999, 20249, 24249]"
