seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777662913,500,0.5,lightgbm,first,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5499, 10249, 15499, 19999, 24249]"
1777662934,500,0.5,lightgbm,all,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249]"
1777662958,500,0.5,lightgbm,first,0.7,0.11145495495495496,0.11145495495495496,0.09009009009009009,0.09009009009009009,0.9817297297297297,0.9817297297297297,0.04132231404958678,0.04132231404958678,0.9762975077524154,0.9762975077524154,8.9524765729585,4458.333333333333,249.0,0.5,"[3249, 5999, 9999, 15749, 19499, 20249, 24249, 29999]"
1777662979,500,0.5,lightgbm,all,0.7,0.12627551020408162,0.12627551020408162,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.742971887550201,5350.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249, 29999]"
1777663002,500,0.5,lightgbm,first,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 19499, 20249, 24249]"
1777663027,500,0.5,lightgbm,all,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 18999, 20249, 24249]"
1777663048,500,0.5,lightgbm,first,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 19749, 20249, 24249]"
1777663073,500,0.5,lightgbm,all,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5749, 10249, 15249, 20249, 24249]"
1777663095,500,0.5,lightgbm,first,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5499, 10249, 15499, 19999, 24249]"
1777663127,500,0.5,lightgbm,all,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5999, 10249, 15749, 19749, 20249, 24249]"
1777663152,500,0.5,lightgbm,first,0.7,0.11036036036036037,0.11036036036036037,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.9524765729585,4458.333333333333,249.0,0.5,"[3249, 5499, 10249, 15749, 19499, 20249, 24249, 29999]"
1777663174,500,0.5,lightgbm,all,0.7,0.11036036036036037,0.11036036036036037,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.9524765729585,4458.333333333333,249.0,0.5,"[3249, 5499, 10249, 15499, 19749, 20249, 24249, 29999]"
1777663195,500,0.5,lightgbm,first,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5999, 10249, 15749, 19499, 20249, 24249]"
1777663218,500,0.5,lightgbm,all,0.7,0.12627551020408162,0.12627551020408162,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.742971887550201,5350.0,249.0,0.5,"[3249, 5749, 10249, 15249, 20249, 24249, 29999]"
1777663245,500,0.5,lightgbm,first,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5749, 10249, 15249, 20249, 24249]"
1777663267,500,0.5,lightgbm,all,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24249]"
1777663289,500,0.5,lightgbm,first,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.6177924217462932,5250.0,4249.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24249, 29499]"
1777663310,500,0.5,lightgbm,all,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5749, 10249, 15749, 19499, 20249, 24249]"
1777663335,500,0.5,lightgbm,first,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5749, 10249, 15249, 20249, 24249]"
1777663356,500,0.5,lightgbm,all,0.7,0.12737709137709138,0.12737709137709138,0.09009009009009009,0.09009009009009009,0.9817297297297297,0.9817297297297297,0.04132231404958678,0.04132231404958678,0.9762975077524154,0.9762975077524154,8.433734939759036,4200.0,249.0,0.5,"[3249, 5999, 9999, 15999, 19499, 20249, 24249]"
1777663381,500,0.5,lightgbm,first,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.577906201378084,5200.0,4499.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24499, 29249]"
1777663405,500,0.5,lightgbm,all,0.7,0.12737709137709138,0.12737709137709138,0.09009009009009009,0.09009009009009009,0.9817297297297297,0.9817297297297297,0.04132231404958678,0.04132231404958678,0.9762975077524154,0.9762975077524154,8.433734939759036,4200.0,249.0,0.5,"[3249, 5999, 9999, 15999, 18999, 20249, 24249]"
1777663430,500,0.5,lightgbm,first,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5999, 10249, 15249, 20249, 24249]"
1777663451,500,0.5,lightgbm,all,0.7,0.12737709137709138,0.12737709137709138,0.09009009009009009,0.09009009009009009,0.9817297297297297,0.9817297297297297,0.04132231404958678,0.04132231404958678,0.9762975077524154,0.9762975077524154,8.433734939759036,4200.0,249.0,0.5,"[3249, 5749, 9999, 15999, 18999, 20249, 24249]"
