seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777663949,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2971721721721722,593.75,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24749, 25749, 26249, 26999, 28249, 28749, 29499]"
1777663962,500,0.5,0.7,0.016984324164448387,0.016984324164448387,0.08695652173913043,0.08695652173913043,0.9191884057971015,0.9191884057971015,0.04,0.04,0.9283445554342121,0.9283445554342121,0.3008327476412583,601.063829787234,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11499, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29249]"
1777663975,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26999, 28249, 28749, 29249]"
1777663989,500,0.5,0.7,0.0166885536823425,0.0166885536823425,0.08695652173913043,0.08695652173913043,0.904695652173913,0.904695652173913,0.04,0.04,0.9145793899356188,0.9145793899356188,0.30349498434604816,606.3829787234042,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10499, 11499, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29499]"
1777664002,500,0.5,0.7,0.016301176470588236,0.016301176470588236,0.08823529411764706,0.08823529411764706,0.9032941176470588,0.9032941176470588,0.04054054054054055,0.04054054054054055,0.9132206942834449,0.9132206942834449,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10499, 11249, 11749, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 16249, 16749, 17249, 17749, 18249, 18749, 19249, 19749, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29249]"
1777664015,500,0.5,0.7,0.0166885536823425,0.0166885536823425,0.08695652173913043,0.08695652173913043,0.904695652173913,0.904695652173913,0.04,0.04,0.9145793899356188,0.9145793899356188,0.3008327476412583,601.063829787234,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10499, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 16249, 16749, 17249, 17749, 18249, 18749, 19249, 19749, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 25249, 25749, 26249, 26749, 28249, 28749, 29249]"
1777664028,500,0.5,0.7,0.01670038450162674,0.01670038450162674,0.08695652173913043,0.08695652173913043,0.9052753623188405,0.9052753623188405,0.04,0.04,0.9026843432446953,0.9026843432446953,0.30349498434604816,606.3829787234042,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3999, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11499, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26999, 28249, 28749, 29499]"
1777664041,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2971721721721722,593.75,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29499]"
1777664054,500,0.5,0.7,0.016984324164448387,0.016984324164448387,0.08695652173913043,0.08695652173913043,0.9191884057971015,0.9191884057971015,0.04,0.04,0.9283445554342121,0.9283445554342121,0.30349498434604816,606.3829787234042,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11499, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24749, 25499, 25999, 26999, 28249, 28749, 29499]"
1777664068,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26999, 28249, 28749, 29249]"
