seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778260834,3000,0.1,lightgbm,0.7,0.025063437139561703,0.025063437139561703,0.427843137254902,0.427843137254902,0.8539215686274509,0.8539215686274509,0.45087389027868,0.45087389027868,0.8526473040525868,0.8526473040525868,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260847,3000,0.1,lightgbm,0.7,0.020507497116493658,0.020507497116493658,0.5280392156862745,0.5280392156862745,0.8766666666666667,0.8766666666666667,0.5374949657124892,0.5374949657124892,0.87253715337091,0.87253715337091,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260860,3000,0.1,lightgbm,0.7,0.025063437139561703,0.025063437139561703,0.427843137254902,0.427843137254902,0.8539215686274509,0.8539215686274509,0.45087389027868,0.45087389027868,0.8526473040525868,0.8526473040525868,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260872,3000,0.1,lightgbm,0.7,0.02217750257997936,0.02217750257997936,0.5428070175438596,0.5428070175438596,0.9198245614035088,0.9198245614035088,0.5487269302890248,0.5487269302890248,0.915418301377953,0.915418301377953,12.503215847697453,3738.4615384615386,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39899, 42899, 45899, 48899, 51899]"
1778260886,3000,0.1,lightgbm,0.7,0.025063437139561703,0.025063437139561703,0.427843137254902,0.427843137254902,0.8539215686274509,0.8539215686274509,0.45087389027868,0.45087389027868,0.8526473040525868,0.8526473040525868,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260898,3000,0.1,lightgbm,0.7,0.02641163793103448,0.02641163793103448,0.496551724137931,0.496551724137931,0.9191379310344827,0.9191379310344827,0.5075457368324124,0.5075457368324124,0.9168844378891032,0.9168844378891032,12.792642140468228,3825.0,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 40199, 43199, 46199, 49199]"
1778260912,3000,0.1,lightgbm,0.7,0.025063437139561703,0.025063437139561703,0.427843137254902,0.427843137254902,0.8539215686274509,0.8539215686274509,0.45087389027868,0.45087389027868,0.8526473040525868,0.8526473040525868,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260925,3000,0.1,lightgbm,0.7,0.02334051724137931,0.02334051724137931,0.5910344827586207,0.5910344827586207,0.9644827586206897,0.9644827586206897,0.5941092358595785,0.5941092358595785,0.9634203013914123,0.9634203013914123,4.226918798665183,3800.0,899.0,0.0,"[3299, 6899, 9899, 12899, 15899, 18899, 21899, 24899, 27899, 30899, 33899, 36899, 39899, 42899, 45899, 48899]"
1778260938,3000,0.1,lightgbm,0.7,0.025063437139561703,0.025063437139561703,0.427843137254902,0.427843137254902,0.8539215686274509,0.8539215686274509,0.45087389027868,0.45087389027868,0.8526473040525868,0.8526473040525868,12.348855158219706,3692.3076923076924,299.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299, 30299, 33299, 36299, 39299, 42299, 45299, 48299, 51299]"
1778260951,3000,0.1,lightgbm,0.7,0.02140350877192983,0.02140350877192983,0.6003508771929824,0.6003508771929824,0.9642105263157895,0.9642105263157895,0.6043236970290055,0.6043236970290055,0.963198410579971,0.963198410579971,4.15846667237101,3738.4615384615386,899.0,0.0,"[3299, 6899, 9899, 12899, 15899, 18899, 21899, 24899, 27899, 30899, 33899, 36899, 39899, 42899, 45899, 48899, 51899]"
